EC;M;T;CO;W;TM;S;F;Classes;;;;;;;
-0,999769886;-0,079730805;0,178571429;-0,448275862;5,666666667;-0,925764192;-0,9;20,60759494;A;;;;;;;
-0,999747905;-0,080971511;0,035714286;-0,206896552;7,666666667;-0,449781659;-0,9125;14,17721519;A;;;;;;;
-0,999986699;0,020249938;0,107142857;-0,931034483;6,333333333;0,19650655;-0,875;13,6835443;A;;;;;;;
-0,999984974;0,026663716;0,107142857;1,793103448;15,16666667;-0,88209607;-0,925;12,86075949;A;;;;;;;
-0,999960548;0,035746333;-0,285714286;-0,620689655;1,666666667;0,104803493;-0,9875;23,74683544;A;;;;;;;
-0,999977382;-0,156431261;0;1,206896552;14,16666667;0,15720524;-0,775;19,41772152;A;;;;;;;
-0,999980718;-0,074111163;0,428571429;-0,413793103;0,666666667;-1,021834061;-0,95;29,78481013;A;;;;;;;
-0,999853789;0,054505479;0,285714286;0,655172414;5,5;0,056768559;-0,925;20,83544304;A;;;;;;;
-0,9997338;0,079057204;-0,107142857;0,413793103;2,333333333;-0,655021834;-0,7875;19,40506329;A;;;;;;;
-0,999995545;-0,001160777;0,142857143;-0,965517241;5,333333333;-0,104803493;-0,975;22,18987342;A;;;;;;;
-0,999992059;-0,094657119;0,25;0,517241379;13,66666667;0,126637555;-0,8;14,67088608;A;;;;;;;
-0,999984542;-0,009199777;-0,142857143;2,068965517;12;0,11790393;-0,8625;29,24050633;A;;;;;;;
-0,99996902;-0,204382629;-0,035714286;0,655172414;14,16666667;-0,371179039;-0,85;18,01265823;A;;;;;;;
-0,999969937;-0,11715455;0,178571429;0,310344828;14;0,179039301;-0,875;22,34177215;A;;;;;;;
-0,99997493;-0,039325358;-0,214285714;1,931034483;12,83333333;-0,183406114;-0,775;19,50632911;A;;;;;;;
-0,999995432;-0,041302186;-0,178571429;-0,862068966;-0,666666667;-0,240174672;-0,8;19,79746835;A;;;;;;;
-0,999993394;0,027466616;0,142857143;-0,896551724;2;-0,834061135;-0,7875;24,2278481;A;;;;;;;
-0,999938533;-0,198994265;-0,178571429;1,517241379;9,333333333;-0,528384279;-0,7875;15,37974684;A;;;;;;;
-0,999995569;0,061106435;0,392857143;-0,517241379;11,16666667;-0,943231441;-0,8;13;A;;;;;;;
-0,999996333;-0,017882527;0,25;0,310344828;8,333333333;-0,772925764;-0,7875;22,41772152;A;;;;;;;
-0,999995268;0,17662032;0,142857143;1,413793103;4;-0,052401747;-0,8;14,55696203;A;;;;;;;
-0,999824013;0,012633578;0,142857143;1,793103448;8,333333333;-1,017467249;-0,975;15,88607595;A;;;;;;;
-0,999992438;-0,050434285;0,428571429;1,137931034;8;0,139737991;-0,7875;15,43037975;A;;;;;;;
-0,999988361;0,004058336;-0,178571429;0,896551724;15,16666667;0,301310044;-0,8875;25,89873418;A;;;;;;;
-0,999994204;-0,154484669;0,285714286;0,344827586;11,83333333;-0,231441048;-0,8875;13,41772152;A;;;;;;;
-0,999967212;-0,124827802;0,285714286;2,103448276;4,666666667;-0,68558952;-0,9375;16,26582278;A;;;;;;;
-0,999994289;0,109213477;-0,25;-0,344827586;9,333333333;-0,004366812;-0,9;26,46835443;A;;;;;;;
-0,999942463;-0,154257852;0,142857143;0,137931034;12,33333333;-0,122270742;-0,8375;22,32911392;A;;;;;;;
-0,999838782;0,100191615;0,142857143;-0,24137931;7,333333333;-0,489082969;-0,8375;25,92405063;A;;;;;;;
-0,999976326;-0,199589939;-0,035714286;1,379310345;4,666666667;-0,148471616;-0,825;18,02531646;A;;;;;;;
-0,999945854;-0,063478637;0,178571429;1,034482759;5,666666667;-0,572052402;-0,95;24,41772152;A;;;;;;;
-0,999955024;0,010752338;0,392857143;1,379310345;12,33333333;-0,524017467;-0,825;28,93670886;A;;;;;;;
-0,999971209;-0,190233949;-0,035714286;-0,724137931;4,666666667;0,017467249;-0,9875;22,83544304;A;;;;;;;
-0,99995874;-0,010896358;-0,285714286;-0,103448276;11,83333333;-0,965065502;-0,7875;15,75949367;A;;;;;;;
-0,999996615;-0,070498846;0,107142857;0,103448276;0,666666667;-0,484716157;-0,95;26,65822785;A;;;;;;;
-0,999856967;-0,062795295;0,285714286;0,24137931;15;-0,973799127;-0,925;12,69620253;A;;;;;;;
-0,999907603;0,122741149;-0,25;0,965517241;15,16666667;0,131004367;-0,9875;15,75949367;A;;;;;;;
-0,999925618;0,121185979;0,035714286;0;6;-0,471615721;-0,8;26,3164557;A;;;;;;;
-0,99997961;-0,133722338;0;1,620689655;-0,166666667;-0,602620087;-0,8875;16,96202532;A;;;;;;;
-0,999919404;-0,004604616;-0,25;0,551724138;13,33333333;-0,200873362;-0,8375;23,94936709;A;;;;;;;
-0,999934874;-0,070659183;0,285714286;1,103448276;3,666666667;-0,279475983;-0,975;25,40506329;A;;;;;;;
-0,999946776;0,068051156;0,392857143;1,379310345;13,66666667;-0,703056769;-0,8875;15,25316456;A;;;;;;;
-0,999904537;0,128599807;-0,214285714;2,034482759;-0,833333333;-0,742358079;-0,8;18,4556962;A;;;;;;;
-0,999841523;-0,026915263;-0,25;2,413793103;13,66666667;-0,091703057;-0,8375;27,74683544;A;;;;;;;
-0,999978046;-0,04602057;-0,107142857;-0,551724138;8,833333333;0,056768559;-0,8125;21,64556962;A;;;;;;;
-0,999971396;0,001402264;-0,178571429;-0,103448276;5,166666667;-0,786026201;-0,7625;18,67088608;A;;;;;;;
-0,999954076;0,06971819;0,071428571;-0,068965517;7,166666667;-0,528384279;-0,8375;29,72151899;A;;;;;;;
-0,999995539;0,094654048;0,035714286;0,034482759;1,5;0,082969432;-0,7625;25,10126582;A;;;;;;;
-0,999736558;0,094077368;0,285714286;-0,827586207;0,5;0,043668122;-0,775;15,11392405;A;;;;;;;
-0,999740427;-0,177563975;0,25;1,689655172;2;-0,515283843;-0,9625;29,53164557;A;;;;;;;
-0,999995206;0,02767568;0,142857143;-0,517241379;2,833333333;-0,825327511;-0,7625;17,83544304;A;;;;;;;
-0,999795861;0,157970181;0,357142857;1,965517241;6,833333333;-0,799126638;-0,975;21,08860759;A;;;;;;;
-0,999976831;0,187798629;-0,214285714;1,344827586;13,5;-0,873362445;-0,775;16,69620253;A;;;;;;;
-0,999995736;-0,145789165;0,071428571;0,931034483;12,33333333;-0,637554585;-0,8125;27,12658228;A;;;;;;;
-0,999877386;-0,040314543;-0,142857143;0,896551724;3,833333333;-0,978165939;-0,85;15,63291139;A;;;;;;;
-0,99975131;-0,153126722;-0,142857143;-0,551724138;9;-0,794759825;-0,775;27,7721519;A;;;;;;;
-0,999824348;0,069304313;0;-0,689655172;5,5;-0,92139738;-0,8875;22,73417722;A;;;;;;;
-0,999992384;0,076286163;-0,071428571;0,655172414;5,166666667;-0,519650655;-0,7625;29,73417722;A;;;;;;;
-0,999993532;-0,172699394;0,107142857;1,310344828;13,83333333;-0,746724891;-0,7875;13,11392405;A;;;;;;;
-0,999993288;0,129936121;-0,25;0,034482759;12,66666667;-0,262008734;-0,85;25,10126582;A;;;;;;;
-0,999967925;0,181266571;-0,071428571;1,724137931;15,5;-0,026200873;-0,9375;26,5443038;A;;;;;;;
-0,999994189;-0,102214303;0,178571429;-0,275862069;9,166666667;-0,43231441;-0,7625;16,26582278;A;;;;;;;
-0,999959025;-0,133455148;0,035714286;2,413793103;12,5;-0,982532751;-0,7875;14,44303797;A;;;;;;;
-0,999832865;0,102786816;0,392857143;-0,75862069;3,333333333;-0,288209607;-0,875;18,51898734;A;;;;;;;
-0,999991186;0,12930516;0,357142857;1,793103448;7,5;0,257641921;-0,75;30,05063291;A;;;;;;;
-0,999870211;-0,029595659;0,321428571;1,896551724;12,16666667;-0,64628821;-0,7875;28,34177215;A;;;;;;;
-0,999982688;0,155987814;0,071428571;0,793103448;9,666666667;-0,96069869;-0,75;18,35443038;A;;;;;;;
-0,999909631;-0,192601618;0,357142857;-0,862068966;5,5;-0,192139738;-0,8875;17,37974684;A;;;;;;;
-0,999993459;-0,190759685;-0,214285714;2,137931034;15,5;-0,807860262;-0,9;28,7721519;A;;;;;;;
-0,999990186;0,165017735;0,392857143;2,379310345;5;-0,061135371;-0,7625;13,49367089;A;;;;;;;
-0,999929348;-0,145129475;-0,285714286;-0,206896552;9,166666667;-0,15720524;-0,8125;26,96202532;A;;;;;;;
-0,999995805;-0,184656887;0,357142857;1,24137931;5,833333333;0,279475983;-0,85;24,08860759;A;;;;;;;
-0,999855396;-0,078225094;-0,071428571;1,75862069;7,666666667;0,209606987;-0,775;27,13924051;A;;;;;;;
-0,999971191;-0,156145594;0,142857143;-0,379310345;7;-0,200873362;-0,9;19,72151899;A;;;;;;;
-0,99995737;0,111776871;0,321428571;-0,413793103;13,66666667;0,074235808;-0,75;16,3164557;A;;;;;;;
-0,999996531;-0,147445292;-0,142857143;0,103448276;12,5;-0,388646288;-0,9375;15,72151899;A;;;;;;;
-0,999990556;0,029229245;0,321428571;1,482758621;7,166666667;-0,812227074;-0,975;13,2278481;A;;;;;;;
-0,99985925;-0,188633497;0,071428571;-0,206896552;8,833333333;-0,436681223;-0,9125;24,93670886;A;;;;;;;
-0,999988675;-0,038761568;0,107142857;2;5,166666667;0,144104803;-0,8;27,3164557;A;;;;;;;
-0,999977474;0,132401429;-0,178571429;0,137931034;1,166666667;0,179039301;-0,875;13,49367089;A;;;;;;;
-0,999992282;0,15004359;0,321428571;-0,620689655;10,33333333;-0,419213974;-0,95;26,16455696;A;;;;;;;
-0,999983543;0,149027444;0;0,931034483;14,16666667;-0,716157205;-0,9625;23,55696203;A;;;;;;;
-0,99999615;0,080424843;0,107142857;-0,103448276;11;0,091703057;-0,9875;16,97468354;A;;;;;;;
-0,999717563;-0,125268095;0,428571429;-0,482758621;5,5;-0,799126638;-0,9875;29,41772152;A;;;;;;;
-0,999940954;0,045062472;0,035714286;1,75862069;14,33333333;-0,76419214;-0,9875;20,6835443;A;;;;;;;
-0,999931499;-0,058243533;-0,25;0,24137931;2;-0,986899563;-0,8625;24,62025316;A;;;;;;;
-0,999995762;0,028987978;0,25;1,206896552;11,66666667;0,262008734;-0,8375;17,64556962;A;;;;;;;
-0,999960136;0,047175431;0,214285714;0,586206897;13,83333333;-0,056768559;-0,8875;26,94936709;A;;;;;;;
-0,999995709;-0,014979575;0,107142857;-0,034482759;10,5;0,144104803;-0,775;22,58227848;A;;;;;;;
-0,999994952;-0,087973817;-0,035714286;1,827586207;6,833333333;-0,668122271;-0,95;26,35443038;A;;;;;;;
-0,999995413;0,097738278;-0,178571429;-0,482758621;9,666666667;-0,034934498;-0,7875;28,5443038;A;;;;;;;
-0,999992818;0,053983304;-0,142857143;-0,896551724;11,5;-0,84279476;-0,975;26,5443038;A;;;;;;;
-0,999976536;-0,07241214;0;1,344827586;1,333333333;-0,816593886;-0,775;29,4556962;A;;;;;;;
-0,999958097;-0,149386826;0,428571429;-0,206896552;9,666666667;-0,493449782;-0,8;21,25316456;A;;;;;;;
-0,999993237;-0,024569388;-0,214285714;2,068965517;5;-0,868995633;-0,825;19,44303797;A;;;;;;;
-0,999977529;0,024521641;-0,178571429;2,137931034;5,666666667;-0,445414847;-0,9875;17,70886076;A;;;;;;;
-0,999899647;-0,07021728;0,142857143;1,862068966;2,5;-0,807860262;-0,75;22,35443038;A;;;;;;;
-0,999742469;-0,043698096;-0,142857143;2,068965517;3,333333333;-0,192139738;-0,7625;19,24050633;A;;;;;;;
-0,999838819;-0,066896538;-0,071428571;-0,75862069;1;-0,506550218;-0,8625;13,48101266;A;;;;;;;
-0,999988685;0,099677513;-0,285714286;1,448275862;15,16666667;0,218340611;-0,7625;27,94936709;A;;;;;;;
-0,999984856;0,00291049;-0,071428571;1,586206897;14;-0,423580786;-0,925;21,15189873;A;;;;;;;
-0,999729723;0,085898364;-0,107142857;0,965517241;13;-0,506550218;-0,95;15,67088608;A;;;;;;;
-0,999899193;-0,20147051;-0,071428571;-0,310344828;9,333333333;-0,6069869;-0,9375;18,56962025;A;;;;;;;
-0,999972338;0,043003343;-0,214285714;-0,551724138;6,666666667;0,048034934;-0,75;28,16455696;A;;;;;;;
-0,999905903;0,139977459;0;0,137931034;10,66666667;-0,80349345;-0,95;14,26582278;A;;;;;;;
-0,999911316;0,152745517;0,107142857;2;14;-0,445414847;-0,9;14,12658228;A;;;;;;;
-0,99979803;0,096823715;-0,285714286;2,310344828;9,333333333;-0,152838428;-0,7625;12,44303797;A;;;;;;;
-0,999987696;0,149427919;-0,035714286;-0,310344828;15,16666667;0,152838428;-0,9375;16,16455696;A;;;;;;;
-0,999938739;0,130675041;0,214285714;2,068965517;13,16666667;-0,585152838;-0,9;20,58227848;A;;;;;;;
-0,999994205;0,169076314;0,107142857;0,206896552;0,666666667;0,187772926;-0,85;26,82278481;A;;;;;;;
-0,99999653;-0,094629542;-0,285714286;1,413793103;9,833333333;-1,03930131;-0,825;18,15189873;A;;;;;;;
-0,999993424;0,18267861;0,428571429;-0,517241379;6,833333333;-0,834061135;-0,8375;23,78481013;A;;;;;;;
-0,999989106;0,186689824;0,428571429;-0,517241379;12,83333333;-0,375545852;-0,8125;13,60759494;A;;;;;;;
-0,999987212;0,185981033;0,071428571;0,551724138;-0,833333333;-0,580786026;-0,9;29,70886076;A;;;;;;;
-0,999986679;0,145848309;0,142857143;2,448275862;4;-0,480349345;-0,9375;27,67088608;A;;;;;;;
-0,999903872;-0,20529249;-0,25;1,827586207;6,333333333;-0,903930131;-0,8875;12,26582278;A;;;;;;;
-0,999979987;-0,066241732;-0,25;-0,689655172;10,16666667;0,165938865;-0,9;25,74683544;A;;;;;;;
-0,999901627;-0,101642784;0,071428571;-0,620689655;9,833333333;-0,43231441;-0,75;23,97468354;A;;;;;;;
-0,999996275;0,032016638;0,357142857;2,034482759;3,833333333;-0,524017467;-0,75;25,01265823;A;;;;;;;
-0,999994943;0,152920869;0,25;0,137931034;8,333333333;-0,807860262;-0,7625;21,62025316;A;;;;;;;
-0,999914058;0,175506234;0,321428571;-0,448275862;15,33333333;0,008733624;-0,9625;19,5443038;A;;;;;;;
-0,999955852;0,053695622;0,035714286;-0,310344828;-0,5;0,15720524;-0,8625;19,37974684;A;;;;;;;
-0,999958573;-0,020218165;0,357142857;1,413793103;2,5;-0,903930131;-0,9375;17,6835443;A;;;;;;;
-0,999988822;-0,059149803;-0,142857143;1,068965517;8,666666667;0,139737991;-0,9875;16;A;;;;;;;
-0,999963858;-0,018050627;0;0,310344828;6,5;-0,148471616;-0,9875;13,43037975;A;;;;;;;
-0,999723065;-0,058160937;-0,214285714;-0,620689655;7,5;0,227074236;-0,7625;15,21518987;A;;;;;;;
-0,99993688;-0,170452061;-0,178571429;0,724137931;8,5;-0,794759825;-0,85;23,20253165;A;;;;;;;
-0,999914237;-0,193730626;0,25;0,103448276;9,833333333;-0,838427948;-0,7875;18,53164557;A;;;;;;;
-0,999975261;0,155408535;-0,285714286;0,75862069;14,66666667;-0,423580786;-0,8375;21,96202532;A;;;;;;;
-0,999996516;0,005024999;0,357142857;-0,551724138;0,333333333;-0,759825328;-0,8625;15,49367089;A;;;;;;;
-0,99991806;-0,00221839;0,035714286;0,137931034;12;-0,572052402;-0,8375;16,18987342;A;;;;;;;
-0,999939341;-0,188791552;-0,214285714;-0,75862069;4,333333333;0,231441048;-0,9125;21,72151899;A;;;;;;;
-0,999812555;0,060492568;0,142857143;2,448275862;1,166666667;0,19650655;-0,8875;16,6835443;A;;;;;;;
-0,99998325;0,038862819;-0,035714286;0,206896552;6,166666667;-0,056768559;-0,9;26,60759494;A;;;;;;;
-0,999962198;-0,028972897;0,035714286;1;11,5;-0,475982533;-0,7625;15,26582278;A;;;;;;;
-0,99980861;0,015052935;-0,214285714;1,517241379;11,66666667;-0,707423581;-0,7625;27,25316456;A;;;;;;;
-0,999905013;0,139415538;0,285714286;2;13;-0,641921397;-0,7625;29,17721519;A;;;;;;;
-0,999875679;0,061221312;0,392857143;2,379310345;9,666666667;-0,15720524;-0,925;24,96202532;A;;;;;;;
-0,999758781;0,168226638;-0,285714286;2,24137931;15,16666667;-0,56768559;-0,9125;24,51898734;A;;;;;;;
-0,999807516;-0,039076458;-0,071428571;0,206896552;12,66666667;-0,659388646;-0,775;27,67088608;A;;;;;;;
-0,999953703;-0,140402343;0,071428571;0,862068966;10,66666667;-1,030567686;-0,8625;25,37974684;A;;;;;;;
-0,999985417;0,165649412;-0,178571429;2,448275862;10,33333333;-0,84279476;-0,875;22,10126582;A;;;;;;;
-0,999975119;-0,15907124;0,107142857;1,448275862;6,333333333;-0,790393013;-0,8875;13,18987342;A;;;;;;;
-0,999988675;-0,102670564;-0,071428571;2,034482759;7,666666667;0,152838428;-0,85;13,5443038;A;;;;;;;
-0,999982073;-0,098784504;-0,25;-0,620689655;4,166666667;-0,873362445;-0,825;12,26582278;A;;;;;;;
-0,999981195;-0,051279977;0,285714286;2,413793103;8,5;-0,065502183;-0,9;15,11392405;A;;;;;;;
-0,999974383;0,076562639;0,214285714;-0,793103448;0,333333333;-0,64628821;-0,9375;22,67088608;A;;;;;;;
-0,99998611;0,181432097;0,285714286;0,413793103;12,33333333;-0,266375546;-0,9625;23,18987342;A;;;;;;;
-0,999794877;0,120646816;0,392857143;2,344827586;6,166666667;-0,43231441;-0,775;20,30379747;A;;;;;;;
-0,999978443;-0,031374903;0,035714286;0,862068966;12,66666667;-0,694323144;-0,975;16,34177215;A;;;;;;;
-0,999940436;-0,121859531;0,285714286;1;10;-0,537117904;-0,9875;19,72151899;A;;;;;;;
-0,999872381;-0,182352372;0,285714286;-0,068965517;11,33333333;-0,68558952;-0,9625;28,50632911;A;;;;;;;
-0,999992053;0,036664861;-0,071428571;1,586206897;15,66666667;-0,873362445;-0,8375;28;A;;;;;;;
-0,99998453;-0,115369832;-0,285714286;-0,620689655;4,833333333;-0,873362445;-0,925;19,96202532;A;;;;;;;
-0,999995276;-0,018832585;-0,25;1,137931034;10,16666667;-0,471615721;-0,8125;30,43037975;A;;;;;;;
-0,999933812;-0,037038708;0,071428571;-0,655172414;7,666666667;0,026200873;-0,7875;20,24050633;A;;;;;;;
-0,999948744;-0,091237051;0,142857143;0,75862069;1,333333333;-1,034934498;-0,8;22,60759494;A;;;;;;;
-0,999992492;-0,003281688;-0,107142857;0,965517241;15,66666667;-0,497816594;-0,975;19,58227848;A;;;;;;;
-0,999846376;-0,033757634;-0,214285714;-0,172413793;1,666666667;-0,318777293;-0,925;24,40506329;A;;;;;;;
-0,999806564;0,167660434;-0,035714286;0,034482759;5,333333333;-0,585152838;-0,8;13,27848101;A;;;;;;;
-0,999990662;-0,047892995;0,178571429;0,724137931;13,66666667;-0,458515284;-0,8125;23,63291139;A;;;;;;;
-0,999967883;0,184555073;0,392857143;-0,448275862;12,5;0,200873362;-0,9625;16,75949367;A;;;;;;;
-0,999993371;-0,042184148;-0,25;0,413793103;4,5;-0,052401747;-0,7875;12,08860759;A;;;;;;;
-0,999990271;-0,048126001;-0,142857143;1,344827586;3,333333333;0,283842795;-0,875;29,27848101;A;;;;;;;
-0,999753808;0,048931623;-0,178571429;0,172413793;9;-0,23580786;-0,975;29,08860759;A;;;;;;;
-0,999962661;-0,155561886;-0,285714286;1;3;-0,799126638;-0,8125;27,94936709;A;;;;;;;
